,,,
Size,height,length,height of a sleeve
XS,15 ⅜,28,8 ⅝
S,16 ⅞,28 ¾,9
M,18 ½,29 ½,9 ½
L,20 ⅞,30 ¼,9 ⅞
XL,23 ¼,31 ⅛,10 ¼
2XL,25 ⅝,31 ⅞,10 ⅝
