サイズ,1/2胸幅,長さ,袖の長さ
2XS,48,66.5,56.5
XS,50,66.5,56.5
S,52,68,57.5
M,54,69.5,58.5
L,58,71,60
XL,62,72.5,61.5
2XL,66,74,63
3XL,70,75.5,64.5
4XL,74,78.5,65.5
5XL,78,81.5,66.5
6XL,82,84.5,67.5
