𝐬𝐢𝐳𝐞,1/2 chest width,Length,Sleeve length
2XS,18 ⅞,26 ⅛,22 ¼
XS,19 ¾,26 ¼,22 ¼
S,20 ½,26 ¾,22 ⅝
M,21 ¼,27 ⅜,23
L,22 ⅞,28,23 ⅝
XL,24 ⅜,28 ½,24 ¼
2XL,26,29 ⅛,24 ¾
3XL,27 ½,29 ¾,25 ⅜
4XL,29 ⅛,30 ⅞,25 ¾
5XL,30 ¾,32 ⅛,26 ⅛
6XL,32 ¼,33 ¼,26 ⅝
