Size,Chest (flat),Length,Sleeve length
XS,15 ¾,23 ¼,7 ⅛
S,16 ½,23 ⅝,7 ½
M,17 ⅜,24,7 ⅞
L,18 ⅞,25 ¼,8 ¼
XL,20 ½,26 ⅜,8 ⅝
2XL,22,27 ½,9
